# Task	= SimpleRun
# numericalMethod	= RK4
# debug	= 0
# intelegentStop	= 1
# Variable	= Frequency
# numberOfPeriods	= 10000
# maxNumberOfPeriods	= 25000
# numberOfExtremums	= 1000
# skipPeriods	= 25000
# printStep	= 10
# printLastNperiods	= 10
# timeStep	= 0.001
# outputPrecision	= 15
# acceptableDiff	= 1e-05
# alpha	= 0.1
# amplitude	= 0.1
# Hz	= 0
# frequency	= 0.1
# magnetization	= 338
# viscosity	= 0.006
# varMin	= 0.1
# varMax	= 1.55
# varStep	= 0.05
# smallTheta	= 0.005
# smallPhi	= 0.005
# bigTheta	= 0.0051
# bigPhi	= 3.14
# thermalBath	= 0
# linearPolarization	= 0
# hySign	= 1
===== Skipping 25000 periods =====
time	smallTheta	bigTheta	smallPhi	bigPhi	energy	energy/time	Frequency
1.617557739194814e+06	1.114118847530070e-01	5.450479943339600e-04	1.617557573409358e+05	8.785764823667418e+04	2.000104219327627e+01	1.236109741562922e-05	1.000000000000000e-01
1.618185429406791e+06	1.114091617491552e-01	5.456226713490235e-04	1.618185263569469e+05	8.792041219873831e+04	2.000880113314891e+01	1.236109741581872e-05	1.000000000000000e-01
1.618813119618768e+06	1.114064849650619e-01	5.463817457895355e-04	1.618812953714292e+05	8.798317625911419e+04	2.001656007302213e+01	1.236109741601008e-05	1.000000000000000e-01
1.619440809830745e+06	1.114038648045664e-01	5.473207575286461e-04	1.619440643844150e+05	8.804594044144063e+04	2.002431901289625e+01	1.236109741620580e-05	1.000000000000000e-01
1.620068500042722e+06	1.114013113836031e-01	5.484343984345680e-04	1.620068333959420e+05	8.810870476832273e+04	2.003207795277012e+01	1.236109741639564e-05	1.000000000000000e-01
1.620696190254699e+06	1.113988345588687e-01	5.497165551198345e-04	1.620696024060537e+05	8.817146926117585e+04	2.003983689264492e+01	1.236109741658712e-05	1.000000000000000e-01
1.621323880466675e+06	1.113964438335495e-01	5.511603599087350e-04	1.621323714147987e+05	8.823423394009133e+04	2.004759583252029e+01	1.236109741678244e-05	1.000000000000000e-01
1.621951570678652e+06	1.113941483040362e-01	5.527582434195391e-04	1.621951404222314e+05	8.829699882371729e+04	2.005535477239518e+01	1.236109741696186e-05	1.000000000000000e-01
1.622579260890629e+06	1.113919567137711e-01	5.545019935652776e-04	1.622579094284110e+05	8.835976392916613e+04	2.006311371227086e+01	1.236109741715193e-05	1.000000000000000e-01
1.623206951102606e+06	1.113898773477304e-01	5.563828146822971e-04	1.623206784334008e+05	8.842252927193868e+04	2.007087265214598e+01	1.236109741733225e-05	1.000000000000000e-01
1.623834641314583e+06	1.113879179775095e-01	5.583913915370597e-04	1.623834474372698e+05	8.848529486587459e+04	2.007863159202169e+01	1.236109741751428e-05	1.000000000000000e-01
1.624462331526560e+06	1.113860859246866e-01	5.605179532577854e-04	1.624462164400900e+05	8.854806072311684e+04	2.008639053189771e+01	1.236109741770740e-05	1.000000000000000e-01
1.625090021738537e+06	1.113843879399085e-01	5.627523352196503e-04	1.625089854419379e+05	8.861082685410210e+04	2.009414947177391e+01	1.236109741789887e-05	1.000000000000000e-01
1.625717711950514e+06	1.113828302684914e-01	5.650840458260702e-04	1.625717544428937e+05	8.867359326756321e+04	2.010190841164997e+01	1.236109741807631e-05	1.000000000000000e-01
1.626345402162490e+06	1.113814185289027e-01	5.675023284885614e-04	1.626345234430404e+05	8.873635997055208e+04	2.010966735152616e+01	1.236109741825579e-05	1.000000000000000e-01
1.626973092374467e+06	1.113801577485424e-01	5.699962233366981e-04	1.626972924424640e+05	8.879912696847961e+04	2.011742629140160e+01	1.236109741843782e-05	1.000000000000000e-01
1.627600782586444e+06	1.113790523962070e-01	5.725546272376917e-04	1.627600614412534e+05	8.886189426515780e+04	2.012518523127736e+01	1.236109741861690e-05	1.000000000000000e-01
1.628228472798421e+06	1.113781062235049e-01	5.751663509738888e-04	1.628228304394993e+05	8.892466186286518e+04	2.013294417115270e+01	1.236109741878998e-05	1.000000000000000e-01
